,Date,Country,Confirmed,Deaths,Recovered,Active,New Cases,New Recovered,New Deaths
41317,2020-01-23,India,0,0,0,0,0,0,0
41318,2020-01-24,India,0,0,0,0,0,0,0
41319,2020-01-25,India,0,0,0,0,0,0,0
41320,2020-01-26,India,0,0,0,0,0,0,0
41321,2020-01-27,India,0,0,0,0,0,0,0
41322,2020-01-28,India,0,0,0,0,0,0,0
41323,2020-01-29,India,0,0,0,0,0,0,0
41324,2020-01-30,India,1,0,0,1,1,0,0
41325,2020-01-31,India,1,0,0,1,0,0,0
41326,2020-02-01,India,1,0,0,1,0,0,0
41327,2020-02-02,India,2,0,0,2,1,0,0
41328,2020-02-03,India,3,0,0,3,1,0,0
41329,2020-02-04,India,3,0,0,3,0,0,0
41330,2020-02-05,India,3,0,0,3,0,0,0
41331,2020-02-06,India,3,0,0,3,0,0,0
41332,2020-02-07,India,3,0,0,3,0,0,0
41333,2020-02-08,India,3,0,0,3,0,0,0
41334,2020-02-09,India,3,0,0,3,0,0,0
41335,2020-02-10,India,3,0,0,3,0,0,0
41336,2020-02-11,India,3,0,0,3,0,0,0
41337,2020-02-12,India,3,0,0,3,0,0,0
41338,2020-02-13,India,3,0,0,3,0,0,0
41339,2020-02-14,India,3,0,0,3,0,0,0
41340,2020-02-15,India,3,0,0,3,0,1,0
41341,2020-02-16,India,3,0,3,0,0,3,0
41342,2020-02-17,India,3,0,3,0,0,0,0
41343,2020-02-18,India,3,0,3,0,0,0,0
41344,2020-02-19,India,3,0,3,0,0,0,0
41345,2020-02-20,India,3,0,3,0,0,0,0
41346,2020-02-21,India,3,0,3,0,0,0,0
41347,2020-02-22,India,3,0,3,0,0,0,0
41348,2020-02-23,India,3,0,3,0,0,0,0
41349,2020-02-24,India,3,0,3,0,0,0,0
41350,2020-02-25,India,3,0,3,0,0,0,0
41351,2020-02-26,India,3,0,3,0,0,0,0
41352,2020-02-27,India,3,0,3,0,0,0,0
41353,2020-02-28,India,3,0,3,0,0,0,0
41354,2020-02-29,India,3,0,3,0,0,0,0
41355,2020-03-01,India,3,0,3,0,0,0,0
41356,2020-03-02,India,5,0,3,2,2,0,0
41357,2020-03-03,India,5,0,3,2,0,0,0
41358,2020-03-04,India,28,0,3,25,23,0,0
41359,2020-03-05,India,30,0,3,27,2,0,0
41360,2020-03-06,India,31,0,3,28,1,0,0
41361,2020-03-07,India,34,0,3,31,3,0,0
41362,2020-03-08,India,39,0,3,36,5,0,0
41363,2020-03-09,India,43,0,3,40,4,0,0
41364,2020-03-10,India,56,0,4,52,13,1,0
41365,2020-03-11,India,62,1,4,57,6,0,1
41366,2020-03-12,India,73,1,4,68,11,0,0
41367,2020-03-13,India,82,2,4,76,9,0,1
41368,2020-03-14,India,102,2,4,96,20,0,0
41369,2020-03-15,India,113,2,13,98,11,9,0
41370,2020-03-16,India,119,2,13,104,6,0,0
41371,2020-03-17,India,142,3,14,125,23,1,1
41372,2020-03-18,India,156,3,14,139,14,0,0
41373,2020-03-19,India,194,4,15,175,38,1,1
41374,2020-03-20,India,244,5,20,219,50,5,1
41375,2020-03-21,India,330,4,23,303,86,3,-1
41376,2020-03-22,India,396,7,27,362,66,4,3
41377,2020-03-23,India,499,10,27,462,103,0,3
41378,2020-03-24,India,536,10,40,486,37,13,0
41379,2020-03-25,India,657,12,43,602,121,3,2
41380,2020-03-26,India,727,20,45,662,70,2,8
41381,2020-03-27,India,887,20,73,794,160,28,0
41382,2020-03-28,India,987,24,84,879,100,11,4
41383,2020-03-29,India,1024,27,95,902,37,11,3
41384,2020-03-30,India,1251,32,102,1117,227,7,5
41385,2020-03-31,India,1397,35,123,1239,146,21,3
41386,2020-04-01,India,1998,58,148,1792,601,25,23
41387,2020-04-02,India,2543,72,191,2280,545,43,14
41388,2020-04-03,India,2567,72,192,2303,24,1,0
41389,2020-04-04,India,3082,86,229,2767,515,37,14
41390,2020-04-05,India,3588,99,229,3260,506,0,13
41391,2020-04-06,India,4778,136,375,4267,1190,146,37
41392,2020-04-07,India,5311,150,421,4740,533,46,14
41393,2020-04-08,India,5916,178,506,5232,605,85,28
41394,2020-04-09,India,6725,226,620,5879,809,114,48
41395,2020-04-10,India,7598,246,774,6578,873,154,20
41396,2020-04-11,India,8446,288,969,7189,848,195,42
41397,2020-04-12,India,9205,331,1080,7794,759,111,43
41398,2020-04-13,India,10453,358,1181,8914,1248,101,27
41399,2020-04-14,India,11487,393,1359,9735,1034,178,35
41400,2020-04-15,India,12322,405,1432,10485,835,73,12
41401,2020-04-16,India,13430,448,1768,11214,1108,336,43
41402,2020-04-17,India,14352,486,2041,11825,922,273,38
41403,2020-04-18,India,15722,521,2463,12738,1370,422,35
41404,2020-04-19,India,17615,559,2854,14202,1893,391,38
41405,2020-04-20,India,18539,592,3273,14674,924,419,33
41406,2020-04-21,India,20080,645,3975,15460,1541,702,53
41407,2020-04-22,India,21370,681,4370,16319,1290,395,36
41408,2020-04-23,India,23077,721,5012,17344,1707,642,40
41409,2020-04-24,India,24530,780,5498,18252,1453,486,59
41410,2020-04-25,India,26283,825,5939,19519,1753,441,45
41411,2020-04-26,India,27890,881,6523,20486,1607,584,56
41412,2020-04-27,India,29451,939,7137,21375,1561,614,58
41413,2020-04-28,India,31324,1008,7747,22569,1873,610,69
41414,2020-04-29,India,33062,1079,8437,23546,1738,690,71
41415,2020-04-30,India,34863,1154,9068,24641,1801,631,75
41416,2020-05-01,India,37257,1223,10007,26027,2394,939,69
41417,2020-05-02,India,39699,1323,10819,27557,2442,812,100
41418,2020-05-03,India,42505,1391,11775,29339,2806,956,68
41419,2020-05-04,India,46437,1566,12847,32024,3932,1072,175
41420,2020-05-05,India,49400,1693,14142,33565,2963,1295,127
41421,2020-05-06,India,52987,1785,15331,35871,3587,1189,92
41422,2020-05-07,India,56351,1889,16776,37686,3364,1445,104
41423,2020-05-08,India,59695,1985,17887,39823,3344,1111,96
41424,2020-05-09,India,62808,2101,19301,41406,3113,1414,116
41425,2020-05-10,India,67161,2212,20969,43980,4353,1668,111
41426,2020-05-11,India,70768,2294,22549,45925,3607,1580,82
41427,2020-05-12,India,74292,2415,24420,47457,3524,1871,121
41428,2020-05-13,India,78055,2551,26400,49104,3763,1980,136
41429,2020-05-14,India,81997,2649,27969,51379,3942,1569,98
41430,2020-05-15,India,85784,2753,30258,52773,3787,2289,104
41431,2020-05-16,India,90648,2871,34224,53553,4864,3966,118
41432,2020-05-17,India,95698,3025,36795,55878,5050,2571,154
41433,2020-05-18,India,100328,3156,39233,57939,4630,2438,131
41434,2020-05-19,India,106475,3302,42309,60864,6147,3076,146
41435,2020-05-20,India,112028,3434,45422,63172,5553,3113,132
41436,2020-05-21,India,118226,3584,48553,66089,6198,3131,150
41437,2020-05-22,India,124794,3726,51824,69244,6568,3271,142
41438,2020-05-23,India,131423,3868,54385,73170,6629,2561,142
41439,2020-05-24,India,138536,4024,57692,76820,7113,3307,156
41440,2020-05-25,India,144950,4172,60706,80072,6414,3014,148
41441,2020-05-26,India,150793,4344,64277,82172,5843,3571,172
41442,2020-05-27,India,158086,4534,67749,85803,7293,3472,190
41443,2020-05-28,India,165386,4711,70920,89755,7300,3171,177
41444,2020-05-29,India,173491,4980,82627,85884,8105,11707,269
41445,2020-05-30,India,181827,5185,86936,89706,8336,4309,205
41446,2020-05-31,India,190609,5408,91852,93349,8782,4916,223
41447,2020-06-01,India,198370,5608,95754,97008,7761,3902,200
41448,2020-06-02,India,207191,5829,100285,101077,8821,4531,221
41449,2020-06-03,India,216824,6088,104071,106665,9633,3786,259
41450,2020-06-04,India,226713,6363,108450,111900,9889,4379,275
41451,2020-06-05,India,236184,6649,113233,116302,9471,4783,286
41452,2020-06-06,India,246622,6946,118695,120981,10438,5462,297
41453,2020-06-07,India,257486,7207,123848,126431,10864,5153,261
41454,2020-06-08,India,265928,7473,129095,129360,8442,5247,266
41455,2020-06-09,India,276146,7750,134670,133726,10218,5575,277
41456,2020-06-10,India,286605,8102,135206,143297,10459,536,352
41457,2020-06-11,India,297535,8498,147195,141842,10930,11989,396
41458,2020-06-12,India,308993,8884,154330,145779,11458,7135,386
41459,2020-06-13,India,320922,9195,162379,149348,11929,8049,311
41460,2020-06-14,India,332424,9520,169798,153106,11502,7419,325
41461,2020-06-15,India,343091,9900,180013,153178,10667,10215,380
41462,2020-06-16,India,354065,11903,186935,155227,10974,6922,2003
41463,2020-06-17,India,366946,12237,194325,160384,12881,7390,334
41464,2020-06-18,India,380532,12573,204711,163248,13586,10386,336
41465,2020-06-19,India,395048,12948,213831,168269,14516,9120,375
41466,2020-06-20,India,410451,13254,227728,169469,15403,13897,306
41467,2020-06-21,India,425282,13699,237196,174387,14831,9468,445
41468,2020-06-22,India,440215,14011,248190,178014,14933,10994,312
41469,2020-06-23,India,456183,14476,258685,183022,15968,10495,465
41470,2020-06-24,India,473105,14894,271697,186514,16922,13012,418
41471,2020-06-25,India,490401,15301,285637,189463,17296,13940,407
41472,2020-06-26,India,508953,15685,295881,197387,18552,10244,384
41473,2020-06-27,India,528859,16095,309713,203051,19906,13832,410
41474,2020-06-28,India,548318,16475,321723,210120,19459,12010,380
41475,2020-06-29,India,566840,16893,334822,215125,18522,13099,418
41476,2020-06-30,India,585481,17400,347912,220169,18641,13090,507
41477,2020-07-01,India,604641,17834,359860,226947,19160,11948,434
41478,2020-07-02,India,625544,18213,379892,227439,20903,20032,379
41479,2020-07-03,India,648315,18655,394227,235433,22771,14335,442
41480,2020-07-04,India,673165,19268,409083,244814,24850,14856,613
41481,2020-07-05,India,697413,19693,424433,253287,24248,15350,425
41482,2020-07-06,India,719664,20159,439934,259571,22251,15501,466
41483,2020-07-07,India,742417,20642,456831,264944,22753,16897,483
41484,2020-07-08,India,767296,21129,476378,269789,24879,19547,487
41485,2020-07-09,India,793802,21604,495513,276685,26506,19135,475
41486,2020-07-10,India,820916,22123,515386,283407,27114,19873,519
41487,2020-07-11,India,849522,22673,534618,292231,28606,19232,550
41488,2020-07-12,India,878254,23174,553471,301609,28732,18853,501
41489,2020-07-13,India,906752,23727,571460,311565,28498,17989,553
41490,2020-07-14,India,936181,24309,592032,319840,29429,20572,582
41491,2020-07-15,India,968857,24914,612768,331175,32676,20736,605
41492,2020-07-16,India,1003832,25602,635757,342473,34975,22989,688
41493,2020-07-17,India,1039084,26273,653751,359060,35252,17994,671
41494,2020-07-18,India,1077781,26816,677423,373542,38697,23672,543
41495,2020-07-19,India,1118206,27497,700087,390622,40425,22664,681
41496,2020-07-20,India,1155338,28082,724578,402678,37132,24491,585
41497,2020-07-21,India,1193078,28732,753050,411296,37740,28472,650
41498,2020-07-22,India,1238798,29861,782607,426330,45720,29557,1129
41499,2020-07-23,India,1288108,30601,817209,440298,49310,34602,740
41500,2020-07-24,India,1337024,31358,849432,456234,48916,32223,757
41501,2020-07-25,India,1385635,32060,885573,468002,48611,36141,702
41502,2020-07-26,India,1435616,32771,917568,485277,49981,31995,711
41503,2020-07-27,India,1480073,33408,951166,495499,44457,33598,637
41504,2020-07-28,India,1531669,34193,988029,509447,51596,36863,785
41505,2020-07-29,India,1581963,34955,1019735,527273,50294,31706,762
41506,2020-07-30,India,1634746,35718,1055348,543680,52783,35613,763
41507,2020-07-31,India,1695988,36511,1094374,565103,61242,39026,793
41508,2020-08-01,India,1750723,37364,1145629,567730,54735,51255,853
41509,2020-08-02,India,1803695,38135,1186203,579357,52972,40574,771
41510,2020-08-03,India,1855745,38938,1230509,586298,52050,44306,803
41511,2020-08-04,India,1908254,39795,1282215,586244,52509,51706,857
41512,2020-08-05,India,1964536,40699,1328336,595501,56282,46121,904
41513,2020-08-06,India,2027074,41585,1378105,607384,62538,49769,886
41514,2020-08-07,India,2088611,42518,1427005,619088,61537,48900,933
41515,2020-08-08,India,2153010,43379,1480884,628747,64399,53879,861
41516,2020-08-09,India,2215074,44386,1535743,634945,62064,54859,1007
41517,2020-08-10,India,2268675,45257,1583489,639929,53601,47746,871
41518,2020-08-11,India,2329638,46091,1639599,643948,60963,56110,834
41519,2020-08-12,India,2396637,47033,1695982,653622,66999,56383,942
41520,2020-08-13,India,2461190,48040,1751555,661595,64553,55573,1007
41521,2020-08-14,India,2525922,49036,1808936,667950,64732,57381,996
41522,2020-08-15,India,2589952,49980,1862258,677714,64030,53322,944
41523,2020-08-16,India,2647663,50921,1919842,676900,57711,57584,941
41524,2020-08-17,India,2702681,51797,1977671,673213,55018,57829,876
41525,2020-08-18,India,2767253,52888,2037816,676549,64572,60145,1091
41526,2020-08-19,India,2836925,53866,2096664,686395,69672,58848,978
41527,2020-08-20,India,2905825,54849,2158946,692030,68900,62282,983
41528,2020-08-21,India,2975701,55794,2222577,697330,69876,63631,945
41529,2020-08-22,India,3044940,56706,2280566,707668,69239,57989,912
41530,2020-08-23,India,3106348,57542,2338035,710771,61408,57469,836
41531,2020-08-24,India,3167323,58390,2404585,704348,60975,66550,848
41532,2020-08-25,India,3224547,59357,2458339,706851,57224,53754,967
41533,2020-08-26,India,3310234,60472,2523771,725991,85687,65432,1115
41534,2020-08-27,India,3387500,61529,2583948,742023,77266,60177,1057
41535,2020-08-28,India,3463972,62550,2648998,752424,76472,65050,1021
41536,2020-08-29,India,3542733,63498,2713933,765302,78761,64935,948
41537,2020-08-30,India,3621245,64469,2774801,781975,78512,60868,971
41538,2020-08-31,India,3691166,65288,2839882,785996,69921,65081,819
41539,2020-09-01,India,3769523,66333,2901908,801282,78357,62026,1045
41540,2020-09-02,India,3853406,67376,2970492,815538,83883,68584,1043
41541,2020-09-03,India,3936747,68472,3037151,831124,83341,66659,1096
41542,2020-09-04,India,4023179,69561,3107223,846395,86432,70072,1089
41543,2020-09-05,India,4113811,70626,3180865,862320,90632,73642,1065
41544,2020-09-06,India,4204613,71642,3250429,882542,90802,69564,1016
41545,2020-09-07,India,4280422,72775,3323950,883697,75809,73521,1133
41546,2020-09-08,India,4370128,73890,3398844,897394,89706,74894,1115
41547,2020-09-09,India,4465863,75062,3471783,919018,95735,72939,1172
41548,2020-09-10,India,4562414,76271,3542663,943480,96551,70880,1209
41549,2020-09-11,India,4659984,77472,3624196,958316,97570,81533,1201
41550,2020-09-12,India,4754356,78586,3702595,973175,94372,78399,1114
41551,2020-09-13,India,4846427,79722,3780107,986598,92071,77512,1136
41552,2020-09-14,India,4930236,80776,3859399,990061,83809,79292,1054
41553,2020-09-15,India,5020359,82066,3942360,995933,90123,82961,1290
41554,2020-09-16,India,5118253,83198,4025079,1009976,97894,82719,1132
41555,2020-09-17,India,5214677,84372,4112551,1017754,96424,87472,1174
41556,2020-09-18,India,5308014,85619,4208431,1013964,93337,95880,1247
41557,2020-09-19,India,5400619,86752,4303043,1010824,92605,94612,1133
41558,2020-09-20,India,5487580,87882,4396399,1003299,86961,93356,1130
41559,2020-09-21,India,5562663,88935,4497867,975861,75083,101468,1053
41560,2020-09-22,India,5646010,90020,4587613,968377,83347,89746,1085
41561,2020-09-23,India,5732518,91149,4674987,966382,86508,87374,1129
41562,2020-09-24,India,5818570,92290,4756164,970116,86052,81177,1141
41563,2020-09-25,India,5903932,93379,4849584,960969,85362,93420,1089
41564,2020-09-26,India,5992532,94503,4941627,956402,88600,92043,1124
41565,2020-09-27,India,6074702,95542,5016520,962640,82170,74893,1039
41566,2020-09-28,India,6145291,96318,5101397,947576,70589,84877,776
41567,2020-09-29,India,6225763,97497,5187825,940441,80472,86428,1179
41568,2020-09-30,India,6312584,98678,5273201,940705,86821,85376,1181
41569,2020-10-01,India,6394068,99773,5352078,942217,81484,78877,1095
41570,2020-10-02,India,6473544,100842,5427706,944996,79476,75628,1069
41571,2020-10-03,India,6549373,101782,5509966,937625,75829,82260,940
41572,2020-10-04,India,6623815,102685,5586703,934427,74442,76737,903
41573,2020-10-05,India,6685082,103569,5662490,919023,61267,75787,884
41574,2020-10-06,India,6757131,104555,5744693,907883,72049,82203,986
41575,2020-10-07,India,6835655,105526,5827704,902425,78524,83011,971
41576,2020-10-08,India,6906151,106490,5906069,893592,70496,78365,964
41577,2020-10-09,India,6979423,107416,5988822,883185,73272,82753,926
41578,2020-10-10,India,7053806,108334,6077976,867496,74383,89154,918
41579,2020-10-11,India,7120538,109150,6149535,861853,66732,71559,816
41580,2020-10-12,India,7175880,109856,6227295,838729,55342,77760,706
41581,2020-10-13,India,7239389,110586,6301927,826876,63509,74632,730
41582,2020-10-14,India,7307097,111266,6383441,812390,67708,81514,680
41583,2020-10-15,India,7370468,112161,6453779,804528,63371,70338,895
41584,2020-10-16,India,7432680,112998,6524595,795087,62212,70816,837
41585,2020-10-17,India,7494551,114031,6597209,783311,61871,72614,1033
41586,2020-10-18,India,7550273,114610,6663608,772055,55722,66399,579
41587,2020-10-19,India,7597063,115197,6733328,748538,46790,69720,587
41588,2020-10-20,India,7651107,115914,6795103,740090,54044,61775,717
41589,2020-10-21,India,7706946,116616,6874518,715812,55839,79415,702
41590,2020-10-22,India,7761312,117306,6948497,695509,54366,73979,690
41591,2020-10-23,India,7814682,117956,7016046,680680,53370,67549,650
41592,2020-10-24,India,7864811,118534,7078123,668154,50129,62077,578
41593,2020-10-25,India,7909959,119014,7137228,653717,45148,59105,480
41594,2020-10-26,India,7946429,119502,7201070,625857,36470,63842,488
41595,2020-10-27,India,7990322,120010,7259509,610803,43893,58439,508
41596,2020-10-28,India,8040203,120527,7315989,603687,49881,56480,517
41597,2020-10-29,India,8088851,121090,7373375,594386,48648,57386,563
41598,2020-10-30,India,8137119,121641,7432829,582649,48268,59454,551
41599,2020-10-31,India,8184082,122111,7491513,570458,46963,58684,470
41600,2020-11-01,India,8229313,122607,7544798,561908,45231,53285,496
41601,2020-11-02,India,8267623,123097,7603121,541405,38310,58323,490
41602,2020-11-03,India,8313876,123611,7656478,533787,46253,53357,514
